# Reference     Calculated     Difference (absolute)
# --------------------------------------------------

           -0.090000           -0.217666            0.127666
            0.130000           -0.067089            0.197089
           -0.650000           -0.586049            0.063951
           -1.670000           -0.984743            0.685257
           -0.090000           -0.148355            0.058355
