# Step   Chi   Zeta
# ----------------------------------------
           0   5335.4476052381433       0.26290386160498658     
# SIGMA=    100000000.0000000
           1   5335.4484498531056       0.26290385837650876     
           2   5335.4484498531056       0.26290385837650876     
           3   5809.2195835636348       0.39650223822813346     
           4   36605.035260567274        9.0913875590590525     
           5   36605.035260567274        9.0913875590590525     
           6   36605.035260662218        9.0913875594809497     
           7   36605.035259313350        9.0913875585527801     
           8   36355.449435280992        8.9328265275824759     
           9   44948.557647761583        14.533281836208122     
          10   36891.775886446841        8.8372661784965132     
          11   36891.775886446841        8.8372661784965132     
          12   36891.775886559575        8.8372661789956641     
          13   31516.006985516167        5.6021272470894017     
          14   9041.8654218029587       0.44748867352667787     
          15   7768.7747470038194       0.29277349917662454     
          16   7768.7747470038194       0.29277349917662454     
          17   7768.7718512967149       0.29277348866808950     
          18   7768.7718512967149       0.29277348866808950     
          19   7768.7718512967149       0.29277348866808950     
          20   7768.7718512967149       0.29277348866808950     
          21   7768.7714291568400       0.29277348751729892     
          22   7768.7772902699398       0.29277350689903492     
          23   7768.7772902699398       0.29277350689903492     
          24   29437.448514856671        3.7759487150690729     
          25   29437.448514856671        3.7759487150690729     
          26   29437.448511385628        3.7759487126764197     
          27   29437.448103526931        3.7759484806963313     
          28   29437.448103526931        3.7759484806963313     
          29   29437.448103526931        3.7759484806963313     
          30   20756.822746511367        3.1362222279915239E-002
          31   20756.821827289485        3.1362138421633018E-002
          32   20756.675668776748        3.1347692984659663E-002
          33   20756.675668776748        3.1347692984659663E-002
          34   20756.675668776748        3.1347692984659663E-002
          35   17113.731191391020        0.0000000000000000     
          36   17113.731191391020        0.0000000000000000     
          37   17113.731191391020        0.0000000000000000     
          38   17113.731191391020        0.0000000000000000     
          39   17113.731191391020        0.0000000000000000     
          40   21374.178016015583        8.3308893991991262     
          41   21374.178016015583        8.3308893991991262     
          42   21374.178016015583        8.3308893991991262     
          43   21374.178016015583        8.3308893991991262     
          44   67345.607142807698        125.12781692728082     
          45   29246.416663667500        1.7705188843364357     
          46   29246.427144917969        1.7705258364030096     
          47   29246.427144917969        1.7705258364030096     
          48   29246.427144917969        1.7705258364030096     
          49   29246.427144917969        1.7705258364030096     
          50   65577.722867619785        95.071903126275743     
          51   65578.730489430716        95.075257750666310     
          52   65578.730489430716        95.075257750666310     
          53   65578.730489430716        95.075257750666310     
          54   65578.730489430716        95.075257750666310     
          55   66131.369678074727        399.70539715527457     
          56   66131.369678074727        399.70539715527457     
          57   66131.369678074727        399.70539715527457     
          58   792588.27911843290        5106.0950930106219     
          59   792588.27911843290        5106.0950930106219     
          60   1020319.1177384659        4125.0412194537694     
          61   1020319.1177384659        4125.0412194537694     
          62   1020341.7605501675        4125.1551368505097     
          63   1020341.7605501675        4125.1551368505097     
          64   1020341.7605501675        4125.1551368505097     
          65   1020341.7605501675        4125.1551368505097     
          66   1020341.7605501675        4125.1551368505097     
          67   1020341.7605501675        4125.1551368505097     
          68   710096.05293923977        2740.5830381128799     
          69   710096.05293923977        2740.5830381128799     
          70   710096.05293923977        2740.5830381128799     
          71   710082.95610862819        2740.5182497136234     
          72   710082.95610862819        2740.5182497136234     
          73   710082.95610862819        2740.5182497136234     
          74   710082.95610862819        2740.5182497136234     
          75   710082.95610862819        2740.5182497136234     
          76   710082.95610862819        2740.5182497136234     
          77   710082.95610862819        2740.5182497136234     
          78   526256.32824370195        1938.0359034997580     
          79   526256.32824370195        1938.0359034997580     
          80   526256.32824370195        1938.0359034997580     
          81   526256.32824370195        1938.0359034997580     
          82   526256.32824370195        1938.0359034997580     
          83   526256.32824370195        1938.0359034997580     
          84   526256.32824370195        1938.0359034997580     
          85   334030.51988752396        2090.1459321433267     
          86   333988.29940069391        2089.8366756136147     
          87   333988.29940069391        2089.8366756136147     
          88   68996.821282829784        215.64420520276644     
          89   68996.821282829784        215.64420520276644     
          90   68996.821282829784        215.64420520276644     
          91   68996.821282829784        215.64420520276644     
          92   68996.821282829784        215.64420520276644     
          93   318515.22390950564        1976.7462067782094     
          94   223076.90664888136        1183.8431469482753     
          95   223076.90664888136        1183.8431469482753     
          96   223076.90664888136        1183.8431469482753     
          97   223076.90664888136        1183.8431469482753     
          98   577546.15422451566        2846.6162635111668     
          99   577546.15422451566        2846.6162635111668     
         100   367435.84523834183        2113.9602062046883     
