# Reference     Calculated     Difference (absolute)
# --------------------------------------------------

           -0.090000           -0.077707            0.012293
            0.130000           -0.072569            0.202569
           -0.650000           -0.654776            0.004776
           -1.670000           -0.983409            0.686591
           -0.090000           -0.102486            0.012486
