# Reference     Calculated     Difference (absolute)
# --------------------------------------------------

           -0.090000           -0.024165            0.065835
            0.130000           -0.097903            0.227903
           -0.650000           -0.680012            0.030012
           -1.670000           -1.006967            0.663033
           -0.090000            0.015377            0.105377
