# Step   Chi   Zeta
# ----------------------------------------
           0   23049.205786021754       0.51154893958054692     
# SIGMA=    100000000.0000000
           1   23049.205786021754       0.51154893958054692     
           2   23049.205786021754       0.51154893958054692     
           3   23049.205786021754       0.51154893958054692     
           4   23049.205786021754       0.51154893958054692     
           5   23049.205786021754       0.51154893958054692     
           6   23049.205786021754       0.51154893958054692     
           7   23049.205786021754       0.51154893958054692     
           8   23049.205785656381       0.51154893958054692     
           9   23049.205776725270       0.51154893958054692     
          10   23010.906754447002       0.51154893958054692     
          11   22946.459895680469       0.51154893982072991     
          12   25595.654248189072       0.54845549892505752     
          13   25595.654248189072       0.54845549892505752     
          14   25595.654248189072       0.54845549892505752     
          15   25595.654248189072       0.54845549892505752     
          16   25595.654248189072       0.54845549892505752     
          17   25595.654248189072       0.54845549892505752     
          18   25595.654248189072       0.54845549892505752     
          19   25595.654261334945       0.54845549892505752     
          20   25595.654251018703       0.54845549892505752     
          21   25595.654251893444       0.54845549892505752     
          22   25621.118336652758       0.54845549892505752     
          23   13503.760924744718       0.54845550008563870     
          24   21137.217167770490       0.43977714584959299     
          25   21137.217167770490       0.43977714584959299     
          26   21137.217167770490       0.43977714584959299     
          27   21137.217167770490       0.43977714584959299     
          28   21137.217167770490       0.43977714584959299     
          29   21137.217167770490       0.43977714584959299     
          30   21137.217167770490       0.43977714584959299     
          31   21137.217166681075       0.43977714584959299     
          32   21137.217171423985       0.43977714584959299     
          33   21137.217167243805       0.43977714584959299     
          34   20760.233465345045       0.43977714584959299     
          35   13196.892004579317       0.43977714727856571     
          36   12662.015079998801       0.35784190463067234     
          37   12662.015079998801       0.35784190463067234     
          38   12662.015079998801       0.35784190463067234     
          39   12662.015079998801       0.35784190463067234     
          40   12662.015079998801       0.35784190463067234     
          41   12662.015079998801       0.35784190463067234     
          42   12662.015079998801       0.35784190463067234     
          43   12662.015082288754       0.35784190463067234     
          44   12662.015088904171       0.35784190463067234     
          45   12662.015088904171       0.35784190463067234     
