# Step   Chi   Zeta
# ----------------------------------------
           0   5127.7156497394153       0.31161678253989522     
# SIGMA=         9999.9990234
           1   5127.7156497394153       0.31161678253989522     
           2   5128.3563938485422       0.30951358474324625     
           3   5985.5841931843106       0.28557914072588275     
           4   6066.6287140192635        2.9651427378900794     
           5   6095.0018742120656        2.8971531156280457     
           6   6610.0116766480041       0.31437143558634589     
           7   6545.1425781343687       0.31438838171004985     
           8   6548.0272456608500       0.31485364481835793     
           9   6548.0272456608500       0.31485364481835793     
          10   6548.0272456608500       0.31485364481835793     
          11   6547.6971489281314       0.31489235245797187     
          12   6547.6971489281314       0.31489235245797187     
          13   6547.6971489281314       0.31489235245797187     
          14   6547.6971489281314       0.31489235245797187     
          15   6547.6971489281314       0.31489235245797187     
          16   7054.3725877818160       0.31488795139614828     
          17   7054.3725877818160       0.31488795139614828     
          18   7054.3725877818160       0.31488795139614828     
          19   7054.3725877818160       0.31488795139614828     
          20   7054.3725877818160       0.31488795139614828     
          21   7054.3725877818160       0.31488795139614828     
          22   11162.919871632657       0.34841080796300034     
          23   11162.919871632657       0.34841080796300034     
          24   11162.919871632657       0.34841080796300034     
          25   13783.675695430542       0.49255196525988076     
          26   13783.675695430542       0.49255196525988076     
          27   13783.675695430542       0.49255196525988076     
          28   16707.807942819483       0.73380202719222076     
          29   16707.807942819483       0.73380202719222076     
          30   16707.807942819483       0.73380202719222076     
          31   16707.807942819483       0.73380202719222076     
          32   16712.024485613103       0.73366863987236131     
          33   16712.024485613103       0.73366863987236131     
          34   27336.638682520479        1.9703960373551255     
          35   27336.638682520479        1.9703960373551255     
          36   27336.638682520479        1.9703960373551255     
          37   27336.638682520479        1.9703960373551255     
          38   27336.638682520479        1.9703960373551255     
          39   38250.427616665947        103.71945345662563     
          40   26201.062667721042        51.754705289757844     
          41   26201.062667721042        51.754705289757844     
          42   25703.363376154382        46.730573441136094     
          43   26109.052720693137        48.321859951229783     
          44   26109.052720693137        48.321859951229783     
          45   26311.781469752717        50.311609405385809     
          46   26311.781469752717        50.311609405385809     
          47   26311.781469752717        50.311609405385809     
          48   26854.037388249704        56.061235320990185     
          49   26854.037388249704        56.061235320990185     
          50   26854.037388249704        56.061235320990185     
          51   27638.356968685948        65.933708838744195     
          52   27638.356968685948        65.933708838744195     
          53   27638.356968685948        65.933708838744195     
          54   28306.478667047810        76.845531989816820     
          55   15779.757412604833        23.137916500487318     
          56   15779.757412604833        23.137916500487318     
          57   15773.910544148313        23.016486501238710     
          58   24669.549164227217        60.149843493807836     
          59   23312.227210799047        62.242410199059989     
          60   23155.663047731156        58.252890126478192     
          61   33575.219832656396        112.10152501635342     
          62   41245.900542082440        156.72122778061984     
          63   37780.717656220164        117.34464335995033     
          64   37780.717656220164        117.34464335995033     
          65   33989.480543645455        83.516103800564238     
          66   32663.518774758759        70.700064153722394     
          67   37338.067806503466        90.425739742317234     
          68   37264.225525831171        89.527708316104395     
          69   36223.737495141810        80.497970519325818     
          70   23763.323561293339        32.343309128871283     
          71   23763.323561293339        32.343309128871283     
          72   25002.275675346853        42.532523929785604     
          73   25002.275675346853        42.532523929785604     
          74   25019.005647410944        42.724488526114229     
          75   25019.005647410944        42.724488526114229     
          76   21264.002493833152        28.944276666940642     
          77   21263.459617805318        28.938127860102981     
          78   19722.817547835071        17.297731007230581     
          79   12410.295974760633       0.40656372362628324     
          80   12410.295974760633       0.40656372362628324     
          81   12054.059272032842       0.38739367276478093     
          82   8924.3958861434785       0.31486090201433603     
          83   8924.3958861434785       0.31486090201433603     
          84   9216.3556315487349       0.31482511001937763     
          85   11377.884193217478       0.35701595241337331     
          86   11376.009614291344       0.35700169921472213     
          87   11964.003625216334        2.3399882398962881     
          88   19428.643903121138        21.656842587644750     
          89   19458.611450285596        21.989231410134380     
          90   18059.507913366608        12.409855289232608     
          91   22430.540975842792        25.292493086768182     
          92   22519.197065282911        26.157152703096337     
          93   22519.197065282911        26.157152703096337     
          94   8579.7712932623435       0.30963562811821183     
